Tweet,Type
fuck #donaldtrump if he s elected today you can say hello to #worldwar3he is a disgusting vile cont ,AbusiveDT
if you vote for #donaldtrump you don t give a damn shit about this country at all #electionday,AbusiveDT
get out the vote and show #donaldtrump that you reject his brand of racism and white supremancy,AbusiveDT
one last hurrah #donaldtrump as #architecture nightmare client #howardroark  ,AbusiveDT
this election is like voting for dumbledore or voldemort dumbledore has done some shady shit but come on #donaldtrump #racist,AbusiveDT
para nuestra desgracia #hoy gana #donaldtrump en presidenciales de #eeuudecide  tiene un partido m furete y radical que los democratas,AbusiveDT
"sad to say my own most popular and ""viral"" posts are about #donaldtrump   journalists amateurs  prof  see an existential threat",AbusiveDT
if #donaldtrump is all about selfreliance  selfdetermination then why is everything someone else s fault #vote2016 #election2016 #think,AbusiveDT
the biggest loser #donaldtrump @realdonaldtrump #worstlossever,AbusiveDT
as an australian i can only hope america elects #hilaryclinton  because with #donaldtrump in power it will be a shit show #electionday,AbusiveDT
#donaldtrump will appoint conservative judges #nbcnews #cbsnews #reuters #bloomberg #bernie #sanders #gop #nbc ,AbusiveDT
9 of the most outrageous things #donaldtrump has said about latinos  via @latinovoices,AbusiveDT
opinion angry voters and a decaying media fuel #donaldtrump phenomena ,AbusiveDT
#donaldtrump spewing the same hate and discrimination that hitler did in germany his anti semitic views  comments should not be tolerated,AbusiveDT
there is a real risk that #donaldtrump will be next president these people voted george bush in twice #mindboggles,AbusiveDT
#donaldtrump is a national disgrace and dangerously unfit to be #potus period #nc #mi #az #ga #ia #nv #fl ,AbusiveDT
today is the day when evangelical christians vote for the devil #donaldtrump #trump #electionday #electionnight,AbusiveDT
@realdonaldtrump @jamesokeefeiii @breitbartnews @nra @usafortrump2016 what the hell is this ,AbusiveDT
those who fail to learn from history are doomed to repeat it vote wisely #america #donaldtrump #adolfhitler,AbusiveDT
my poor little girl  will #donaldtrump take away my toys me sniffling  of course not honey little girl  but what if he does me,AbusiveDT
if that rotten tangerine #donaldtrump  winstwitter will literally break#debatenight ,AbusiveDT
#trump #election2016 #hillaryclinton #uaw #hillary #aca #obamacare #obamacarefail #nevertrump #un,AbusiveDT
no woman no cry  #donaldtrump,AbusiveDT
damn | pa #democrats lose ruling over #donaldtrump poll watchers  #p2 #pa #nevertrump #dems,AbusiveDT
#uselections2016 ain t a popularity contest this good vs evil shit is mad these man planted #donaldtrump so u could be happy w  killary ,AbusiveDT
seth meyers mocks  villain #donaldtrump for getting his twitter account taken away   ,AbusiveDT
if #donaldtrump wins it s a fair election if #hillaryclinton wins it s rigged really #hypocrites #cultofdrones #nevertrump,AbusiveDT
 tan fascista es #donaldtrump  dice el fascist #election2016 #electionday #eleccioneseeuu  via @pulzo,AbusiveDT
lie big lie often never back down #donaldtrump fox news and ,AbusiveDT
with their supernatural perception cats can recognize the evil #supernatural #cats #evil #trump #donaldtrump ,AbusiveDT
i already miss him he rocked so hard #barackandroll #barackobama #maythebestwin #hilaryclinton #donaldtrump ,AbusiveDT
#donaldtrump #networth how much money did he lose in the elections,AbusiveDT
just found out my 2 active duty cousins  voted for #hillaryclinton  #hrc #clintonkaine #election2016 #nottrump #nevertrump #donaldtrump,AbusiveDT
"a friend in us is worried  has a request""pls pray for america may god save us from #donaldtrump""#election2016 #electionfinalthoughts",AbusiveDT
im sick to my stomach this morning thinking about what would happen if crooked hillary gets in  this is it  last chance #donaldtrump,AbusiveDT
deliveries might be late today i ve been making a dough sculpture of #donaldtrump  s ball sack #election2016 ,AbusiveDT
why the new child rape case filed against #donaldtrump should not be ignored   @huffpostpol #election2016,AbusiveDT
#florida newspaper apologizes for anti #donaldtrump bias #tcot  ,AbusiveDT
we in the #movement voting for #donaldtrump today don t care with #hollywood the #media or illegal aliens have to say ending the #hate,AbusiveDT
just a reminder to all#obama said it your president still #donaldtrump  #hilaryclinton a loss for america e ,AbusiveDT
@joe012594 @steph93065 #hillaryclinton #hillary #imwither #strongertogether #drainthesw @marchaig @leecato74 #usa,AbusiveDT
have to always check the facts before we post we all make mistakes but many people swallow the #lies of #donaldtrump without questioning,AbusiveDT
#donaldtrump neighbor i would be  to death of having him as our #president  ,AbusiveDT
it s time for a radical and maybe even a painful shakeup of our political system  i will be casting my vote for #donaldtrump,AbusiveDT
honestly i m surprised  they r vicious  who would have thought? #drainthesw #hillaryclinton #donaldtrump,AbusiveDT
@enablerbro1 if i wasn t an atheist i d be praying very hard now because #donaldtrump would be modern day  plague  for our sins,AbusiveDT
spoiled loser already  #donaldtrump  ,AbusiveDT
am no trumpster but i would wager a bet #donaldtrump prevails americans who are tired of being screwed will be hea ,AbusiveDT
i saw #donaldtrump dark soul on day one the long strange trip from the #trumptower escalator to election day ,AbusiveDT
if 1 want 2 c some strange things #donaldtrump should come into power 4 routine admin then it should be #hillary  #uselections2016,AbusiveDT
@guyguybastin j esp aussi son sens de la diplomatie #donaldtrump nous m tout droit au chaos mondial,AbusiveDT
people are tired of being ripped off #donaldtrumpripped off by #people like you pay ur dang #taxes you #taxevader cheat #cnn #vote #dnc,AbusiveDT
for #hillaryclinton  #nevertrump supporters to read and see if they can accept this behavior as a sectary of state,AbusiveDT
because #imwither #hillaryclinton #nevertrump people can t see enough of this or see #spiritcooking,AbusiveDT
#donaldtrump might have his downsidesbut the fact that he ll take china and pakistan to the task s too hard to resist #presidentialfootwear,AbusiveDT
@wikileaks website down again #drainthesw #hillaryindictment #dncleak #dncleak2 #hillaryclinton #podestaemails #podestaemails32 #corrupt,AbusiveDT
#donaldtrump will be the american #zuma  sa knew about him before they put him into power but now they are complaining about him #zuma,AbusiveDT
#nevertrump #hillaryclinton,AbusiveDT
"#electionday | #donaldtrump on what a ""waste"" the elections will be if he loses live blog  ",AbusiveDT
#imvotingbecause #donaldtrump never lied about who he named after,AbusiveDT
#fyi @mayorgimenez simmering #bromance with #donaldtrump now smoldering   ,AbusiveDT
it s time to #drainthesw and get these corrupt politicians out of office  #makeamericagreatagain #trump #vote ,AbusiveDT
this means potus and disgusting lynch guilty for breaking this law and allowing hillary to even run  #drainthesw,AbusiveDT
#dnc #hillaryclinton #berniesanders #bernie #drainthesw #millennials #spiritcooking this is the democrat party f,AbusiveDT
planet advised to assume  crash position  just in case #donaldtrump becomes president,AbusiveDT
vote 2 end #hillaryclinton corruption vote 4 change vote 2  #riggedsystem #resigncomey #drainthesw #married2med,AbusiveDT
me and everyone who cares about the survival of america for the next 48 hours    #hillaryclinton #nevertrump,AbusiveDT
we ve all had a laugh but please don t do anything stupid today america #election2016 #donaldtrump #hilaryclinton ,AbusiveDT
for #hillaryclinton  #nevertrump supporters to read and see if they can accept this behavior as a sectary of state,AbusiveDT
#donaldtrump junior on @cnn desperately tries toadvertise his father for #potusby suggesting the public facedisg ,AbusiveDT
you know how bad the #election2016 is when a war criminal #hilaryclinton  warns people about how bad #donaldtrump is we are going down,AbusiveDT
uselection #liveupdate #donaldtrump predicts an upset vows to fight for the disenfranchised middle classes,AbusiveDT
"justifying #donaldtrump @newday #donaldtrumpjr ""sometimes u hv to raise ur voice"" @chriscuomo asked y mean not y loud #dodgedthetruth",AbusiveDT
got the fear that #donaldtrump gets in ,AbusiveDT
#donaldtrump is a joke  has embarrassed us for the last time ,AbusiveDT
is that funny @realdonaldtrump still a thing or has he buggered off into obscurity yet #vote2016 #donaldtrump #bunchofarse,AbusiveDT
whilst #donaldtrump has a repugnant characterhe does not have the blood of syrians libyans and car citizens on his hands#election2016,AbusiveDT
watch mitt romney s full speech  is a phony a fraud  via @youtube #donaldtrump #electionday,AbusiveDT
hillary team using craigslist again to get women to accuse @realdonaldtrump of fake claims #dncleaks2  #wikileaks ,AbusiveDT
#donaldtrump should spend the day in bed watching #westwing and #houseofcards  if the worst happens he ll at least be able to fake it #usa,AbusiveDT
man behind lincoln bedroom fundraising scheme defends clintons taking foreign cash #hillaryclinton #drainthesw,AbusiveDT
#myvote2016 is for #donaldtrump who is not a drunk  doesn t have #hillaryshealth problems of seizures memory loss  ,AbusiveDT
@angelarye there are unconfirmed reports of a massive surge of votes for #donaldtrump today what is ur reaction to that news,AbusiveDT
glad my mexamer grandparents didn t have to hear the hateful nonsense #donaldtrump has been spewing would have pissed them off to no end,AbusiveDT
i experienced #stereotypicaltrump and heard #donaldtrump loud and clear but i m still confused listen now ,AbusiveDT
#electionday if u still #feelthebern remember what he felt was worst than #thebern remember #donaldtrump is on ,AbusiveDT
if america is stupid enough to let #donaldtrump run for president jokes on you when you accidentally bomb your own country ,AbusiveDT
#uselections2016 why #donaldtrump s  american manus  politics will worry indoamericans #india #us ,AbusiveDT
did #donaldtrump  just say all the idiots who voted for him are just a waste of his time and    good one i agree ,AbusiveDT
the #election2016 video game that was built to defeat donald trump  #donaldtrump #nevertrump #iwillvote #4hillary,AbusiveDT
all you boys stop the dirty talk #election2016 #trump #donaldtrump ,AbusiveDT
the last words out of #donaldtrump lips will be a lie liars lie till the day they die  @ivankatrump et al had bet ,AbusiveDT
neither candidate is anywhere close to ideal but please do not cast your vote for corruption and deceit make your vote count #donaldtrump,AbusiveDT
#neverhillary #nevertrump #make against #hillaryclinton #donaldtrump,AbusiveDT
"bravo  i couldn t have said it better  ""a normal person doesn t do that""   #election2016 #hillaryclinton #nevertrump",AbusiveDT
#donaldtrump they are all crooked sad ,AbusiveDT
#arizona #ohio #iowa #florida read this #donaldtrump and shady deals   #election2016,AbusiveDT
@stephenswsj #donaldtrump is a demagogue period the right failure to see it is a disgrace  via @wsj,AbusiveDT
#election2016 inside the election video game that was built to defeat #donaldtrump  #trump #nevertrump #iwillvote,AbusiveDT
pa hahahahahahaaa dwl @bolgermary #nevertrump #hillaryclinton,AbusiveDT
#follow#followme #followher #f4f #hillaryclinton #donaldtrump #us #uselection #voteforhillary #fucktrump #dumptrump,AbusiveDT
#johnoliver admits he was  wrong about #donaldtrump  ,AbusiveDT
